арестова́ть	?	WARNING: no pair types found!	%see%нсв также I	72863	Z	арестова/ть	арестовать		арестовать			св [но в личных формах наст.-буд. также нсв]	2a		%see%нсв также I			V
ассигнова́ть	?	WARNING: no pair types found!	%see%нсв также I	71396	Z	ассигнова/ть	ассигновать		ассигновать			св-нсв	2a		%see%нсв также I			V
благослови́ть	благословля́ть
благослови́ться	благословля́ться
благоустро́ить	благоустра́ивать
благоустро́иться	благоустра́иватьсь
бро́сить	броса́ть
бро́ситься	броса́ться
вбежа́ть	забега́ть
вбить	вбива́ть
вброса́ть	вбра́сывать
вбро́сить	вбра́сывать
вбу́хать	вбу́хивать
вбу́хаться	вбу́хиваться
вбу́хнуть	вбу́хивать
вбу́хнуться	вбу́хиваться
ввали́ть	вва́ливать
ввали́ться	вва́ливатьсь
ввари́ть	вва́ривать
вве́ргнуть	вверга́ть
вве́ргнуться	вверга́ться
вве́рить	вверя́ть
вве́риться	вверя́ться
вверну́ть	ввёртывать
вверста́ть	вве́рстывать
вверте́ть	вве́рчивать
ввинти́ть	вви́нчивать
ввинти́ться	вви́нчиватьсь
ввить	ввива́ть
вволочи́ть	ввола́кивать
вволо́чь	ввола́кивать
ввороти́ть	ввора́чивать
ввяза́ть	ввя́зывать
ввяза́ться	ввя́зываться
ввя́знуть	ввяза́ть
вгляде́ться	вгля́дываться
вгры́зться	вгрыза́ться
вдави́ть	вда́вливать
вдави́ться	вда́вливатьсь
вда́ться	вдава́ться
вдви́нуть	вдвига́ть
вдви́нуться	вдвига́ться
вде́лать	вде́лывать
вдёрнуть	вдёргивать
вдеть	вдева́ть
вде́ться	вдева́ться
вдолби́ть	вда́лбливать
вдохнови́ть	вдохновля́ть
вдохнови́ться	вдохновля́ться
вдохну́ть	вдыха́ть
вду́маться	вду́мываться
вду́нуть	вдува́ть
вдуть	вдува́ть
вжать	вжима́ть
вжа́ться	вжима́ться
вживи́ть	вживля́ть
вжи́ться	вжива́ться
взбежа́ть	забега́ть
взбить	взбива́ть
взби́ться	взбива́ться
взблесну́ть	взблёскивать
взбодри́ть	взба́дривать
взбодри́ться	взба́дриватьсь
взболта́ть	взба́лтывать
взболта́ться	взба́лтываться
взболтну́ть	взба́лтывать
взбрести́	взбреда́ть
взбро́сить	взбра́сывать
взбры́знуть	взбры́згивать
взбрыкну́ть	взбры́кивать
взбудора́жить	взбудора́живать
взбудора́житься	взбудора́живатьсь
взбу́хнуть	взбуха́ть
взвали́ть	взва́ливать
взвари́ть	взва́ривать
взвесели́ть	взвеселя́ть
взвесели́ться	взвеселя́ться
взве́сить	взве́шивать
взве́ситься	взве́шиватьсь
взве́ять	взвева́ть
взве́яться	взвева́ться
взви́згнуть	взви́згивать
взвинти́ть	взви́нчивать
взвинти́ться	взви́нчиватьсь
взвить	взвива́ть
взви́ться	взвива́ться
взволочи́ть	взвола́кивать
взволо́чь	взвола́кивать
взвыть	взвыва́ть
взгляну́ть	взгля́дывать
взгреть	взгрева́ть
взгромозди́ть	взгроможда́ть
взгромозди́ться	взгроможда́ться
вздво́ить	вздва́ивать
вздвои́ть	вздва́ивать
вздёрнуть	вздёргивать
вздёрнуться	вздёргиваться
вздеть	вздева́ть
вздохну́ть	вздыха́ть
вздро́гнуть	вздро́гивать
вздрю́чить	вздрю́чивать
вздуть	вздува́ть
взду́ться	вздува́ться
взды́бить	взды́бливать
взлезть	взлеза́ть
взлете́ть	взлета́ть
взлома́ть	взла́мывать
взлохма́тить	взлохма́чивать
взлохма́титься	взлохма́чиватьсь
взлущи́ть	взлу́щивать
взмани́ть	взма́нивать
взмахну́ть	взма́хивать
взмести́	взмета́ть
взмета́ть	взме́тывать
взметну́ть	взме́тывать
взметну́ться	взмётываться
взмо́кнуть	взмока́ть
взмоли́ться	взма́ливатьсь
взмости́ть	взма́щивать
взмости́ться	взма́щиватьсь
взмочи́ть	взма́чивать
взмути́ть	взму́чивать
взмы́лить	взмы́ливать
взмы́литься	взмы́ливатьсь
взмыть	взмыва́ть
взнузда́ть	взну́здывать
взобра́ться	вбира́ться
взорва́ть	взрыва́ть
взорва́ться	взрыва́ться
взрасти́	взраста́ть
взрасти́ть	взра́щивать
взре́зать	взреза́ть
взрыть	взрыва́ть
взрыхли́ть	взрыхля́ть
взъеро́шить	взъеро́шивать
взъеро́шиться	взъеро́шиватьсь
взъе́сться	заеда́ться
взыска́ть	взы́скивать
взыска́ться	взы́скиваться
видоизмени́ть	видоизменя́ть
видоизмени́ться	видоизменя́ться
вка́пать	вка́пывать
вка́пнуть	вка́пывать
вкара́бкаться	вкара́бкиваться
вката́ть	вка́тывать
вкати́ть	вка́тывать
вкати́ться	вка́тываться
вкача́ть	вка́чивать
вкида́ть	вки́дывать
вки́нуть	вки́дывать
вкле́ить	вкле́ивать
вкле́иться	вкле́иватьсь
вклепа́ть	вкле́пывать
вклепа́ться	вклёпываться
вкли́нить	вкли́нивать
вклини́ть	вкли́нивать
вкли́ниться	вкли́ниватьсь
вклини́ться	вкли́ниватьсь
включи́ть	включа́ть
включи́ться	включа́ться
вкова́ть	вко́вывать
вколоти́ть	вкола́чивать
вколо́ть	вка́лывать
вколо́ться	вка́лываться
вкопа́ть	вка́пывать
вкопа́ться	вка́пываться
вкорени́ть	вкореня́ть
вкорени́ться	вкореня́ться
вкоси́ться	вка́шиватьсь
вкра́пить	вкра́пливать
вкра́питься	вкра́пливатьсь
вкра́сться	вкра́дыватьсь
вкрои́ть	вкра́ивать
вкрути́ть	вкру́чивать
вкрути́ться	вкру́чиватьсь
вкуси́ть	вкуша́ть
влезть	влеза́ть
влепи́ть	влепля́ть
влепи́ться	влепля́ться
влете́ть	влета́ть
вли́пнуть	влипа́ть
влить	влива́ть
вли́ться	влива́ться
вложи́ть	?	WARNING: no pair types found!	%see%вкла/дывать// устар. II(влага/ть)	80840	Z	вложи/ть	вложить		вложить			св	4c		%see%вкла/дывать// устар. II(влага/ть)			V
вломи́ться	вла́мываться
вло́паться	вло́пываться
влюби́ть	влюбля́ть
влюби́ться	влюбля́ться
вля́пать	вля́пывать
вля́паться	вля́пываться
вма́зать	вма́зывать
вма́заться	вма́зываться
вмени́ть	вменя́ть
вмени́ться	вменя́ться
вмёрзнуть	вмёрза́ть
вмеси́ть	вме́шивать
вмести́	вмета́ть
вмести́ть	вмеща́ть
вмести́ться	вмеща́ться
вмета́ть	вме́тывать
вметну́ть	вме́тывать
вмеша́ть	вме́шивать
вмеша́ться	вме́шиваться
вморо́зить	вмора́живать
вмота́ть	вма́тывать
вмурова́ть	вмуро́вывать
вмять	вмина́ть
вмя́ться	вмина́ться
внедри́ть	внедря́ть
внедри́ться	внедря́ться
вни́кнуть	вника́ть
внуши́ть	внуша́ть
вню́хаться	вню́хиваться
внять	внима́ть
вобра́ть	вбира́ть
вобра́ться	вбира́ться
вовле́чь	вовлека́ть
вовле́чься	вовлека́ться
вогна́ть	вогна́ть
вогну́ть	вгиба́ть
вогну́ться	вгиба́ться
водвори́ть	водворя́ть
водвори́ться	водворя́ться
водрузи́ть	водружа́ть
водрузи́ться	водружа́ться
возбрани́ть	возбраня́ть
возбуди́ть	возбужда́ть
возбуди́ться	возбужда́ться
возвели́чить	возвели́чивать
возвели́читься	возвели́чиватьсь
возвесели́ть	возвеселя́ть
возвесели́ться	возвеселя́ться
возвести́ть	возвеща́ть
возврати́ть	возвраща́ть
возврати́ться	возвраща́ться
возвы́сить	возвыша́ть
возвы́ситься	возвыша́ться
возгла́вить	возглавля́ть
возгласи́ть	возглаша́ть
